Brazil	http://dbpedia.org/resource/Brazil
Eletropaulo	http://dbpedia.org/resource/AES_Eletropaulo
SAO PAULO	http://dbpedia.org/resource/São_Paulo
Sao Paulo	http://dbpedia.org/resource/São_Paulo
Eletropaulo	http://dbpedia.org/resource/AES_Eletropaulo
Eduardo Bernini	NIL
Emmanuel Sobral	NIL
Transportation Ministry	NIL
Bernini	NIL
Eletropaulo	http://dbpedia.org/resource/AES_Eletropaulo
Romina Nicaretta	NIL
Sao Paulo	http://dbpedia.org/resource/São_Paulo
Vicorp Restaurants	NIL
Sabourin	NIL
DENVER	http://dbpedia.org/resource/Denver
Vicorp Restaurants Inc	NIL
Richard Sabourin	NIL
Sabourin	NIL
Bestop Inc	NIL
Boulder	http://dbpedia.org/resource/Boulder,_Colorado
Colo.	http://dbpedia.org/resource/Colorado
Craig Held	NIL
New York Newsdesk	NIL
Russ Berrie	http://dbpedia.org/resource/Kid_Brands
OAKLAND	http://dbpedia.org/resource/Oakland,_New_Jersey
N.J.	http://dbpedia.org/resource/New_Jersey
Russ Berrie and Co Inc	NIL
A. Curts Cooke	NIL
Cooke	NIL
