IPO	http://dbpedia.org/resource/Intellectual_Property_Owners_Association
Transkaryotic Therapies Inc	NIL
WASHINGTON	http://dbpedia.org/resource/Washington,_D.C.
Transkaryotic Therapies Inc	NIL
Nasdaq	http://dbpedia.org/resource/NASDAQ
Morgan Stanley and Co Inc	NIL
Hoechst Marion Roussel Inc	NIL
Gazprom	http://dbpedia.org/resource/Gazprom
MOSCOW	http://dbpedia.org/resource/Moscow
Russian	http://dbpedia.org/resource/Russia
RAO Gazprom	http://dbpedia.org/resource/Gazprom
Federal Securities Corporation	NIL
FFK	NIL
FFK	NIL
Gazprom	http://dbpedia.org/resource/Gazprom
FFK	NIL
Gazprom	http://dbpedia.org/resource/Gazprom
Gazprom	http://dbpedia.org/resource/Gazprom
Russia	http://dbpedia.org/resource/Russia
Gazprom	http://dbpedia.org/resource/Gazprom
Russian Trading System	http://dbpedia.org/resource/Russian_Trading_System
Gazprom	http://dbpedia.org/resource/Gazprom
Artyom Danielyan	NIL
Moscow Newsroom	NIL
Homegate Hospitality Inc	NIL
WASHINGTON	http://dbpedia.org/resource/Washington,_D.C.
Name	NIL
Homegate Hospitality Inc	NIL
Nasdaq	http://dbpedia.org/resource/NASDAQ
Bear Stearns & Co Inc	NIL
United States	http://dbpedia.org/resource/United_States
Munich Re	http://dbpedia.org/resource/Munich_Re
MUNICH	http://dbpedia.org/resource/Munich
Germany	http://dbpedia.org/resource/Germany
Muenchener	NIL
Rueckversicherungs AG	NIL
Munich Re	http://dbpedia.org/resource/Munich_Re
Munich Re	http://dbpedia.org/resource/Munich_Re
Munich Re	http://dbpedia.org/resource/Munich_Re
DAX	http://dbpedia.org/resource/DAX
Frankfurt Newsroom	NIL
